uniprot_kb,symbol,synonyms,full_name
Q0PD48,Q9R0M6,Rab9,2410064E05Rik|AI195561|Rab9a|Sid6061p,RAB9, member RAS oncogene family
G1Q0N4,RAB9A,,
H2QYA8,RAB9A,,
Q99P75,Rab9a,Rab9,RAB9A, member RAS oncogene family
Q05AZ2,rab9a,rab9,RAB9A, member RAS oncogene family
H0V9K2,Rab9a,,
,RAB9A,,
,RAB9A,,
,RAB9A,,
,RAB9A,,
,RAB9A,,
F7E148,RAB9A,,
H0WLM5,RAB9A,,
H2MU24,rab9a,,
,RAB9A,,
,RAB9A,,
,Rab9a,,
H2TAZ9,rab9a,,
Q2KI99,TMEM173,STING,
F1PRC9,TMEM173,,
E7F4N7,K4Q6R6,tmem173,,transmembrane protein 173
A0A0A0MQ33,A0A0K1YW01,TMEM173,STING,transmembrane protein 173
F7HHU3,TMEM173,,
,TMEM173,,
Q3TBT3,Tmem173,2610307O08Rik|ERIS|MPYS|Mita|STING,transmembrane protein 173
G1NZ90,TMEM173,,
H2R3B4,TMEM173,,
F1M391,Tmem173,RGD1562552,transmembrane protein 173
A8E5V9,tmem173,STING,transmembrane protein 173
,Tmem173,,
,TMEM173,,
,TMEM173,,
,TMEM173,,
M3VX62,TMEM173,,
G3T4P8,TMEM173,,
,TMEM173,,
G1SS29,TMEM173,,
,TMEM173,,
,tmem173,,
,TMEM173,,
,TMEM173,,
I3N0T1,Tmem173,,
E1BKP4,TBK1,,
,TBK1,,
Q0GKD6,tbk1,wu:fk70c05|zgc:136548,TANK-binding kinase 1
,TBK1,,TANK-binding kinase 1
F7DBZ3,TBK1,,
A1L361,Q9WUN2,Tbk1,1200008B05Rik|AI462036|AW048562,TANK-binding kinase 1
,TBK1,,
H2Q6E2,TBK1,,
D4A7D3,Tbk1,,TANK-binding kinase 1
B5DE68,tbk1,nak|t2k,TANK-binding kinase 1
H0VHU6,Tbk1,,
,TBK1,,
,TBK1,,
,TBK1,,
,TBK1,,
,TBK1,,
,TBK1,,
,TBK1,,
,TBK1,,
H0WR08,TBK1,,
,TBK1,,
,TBK1,,
,Tbk1,,
A4FUD7,RAB33B,,
,RAB33B,,
Q498P3,rab33b,,
Q5ZHV1,RAB33B,,RAB33B, member RAS oncogene family
F6PJJ4,RAB33B,,
F6YBZ7,RAB33B,,
O35963,Q0PD21,Rab33b,,RAB33B, member RAS oncogene family
,RAB33B,,
H2QQ67,RAB33B,,
F1LW77,Rab33b,,RAB33B, member RAS oncogene family
Q66IK6,rab33b,,RAB33B, member RAS oncogene family
,Rab33b,,
,RAB33B,,
,RAB33B,,
,RAB33B,,
,RAB33B,,
,RAB33B,,
,RAB33B,,
,RAB33B,,
,RAB33B,,
H0WUW0,RAB33B,,
,RAB33B,,
,RAB33B,,
I3MUR1,Rab33b,,
,rab33b,,
D7GLD1,MFN2,,
E2R3M9,MFN2,,
A8WIN6,mfn2,mg:cb01g09|si:dkeyp-104h9.2|wu:fb79a11,mitofusin 2
E1BSH7,MFN2,,mitofusin 2
G7MGV9,MFN2,,
F7C010,MFN2,,
Q80U63,Mfn2,D630023P19Rik|Fzo,mitofusin 2
G1PL45,MFN2,,
H2PY17,MFN2,,
Q6IRL2,Mfn2,HSG,mitofusin 2
Q28CS2,mfn2,cmt2a|cmt2a2|cprp1|hsg|marf,mitofusin 2
H0V8P7,Mfn2,,
,MFN2,,
,MFN2,,
,MFN2,,
M3VU19,MFN2,,
G3SLM0,MFN2,,
,MFN2,,
,MFN2,,
H0WRW1,MFN2,,
,mfn2,,
,MFN2,,
,MFN2,,
I3M6K4,Mfn2,,
,mfn2,,
G3N0R1,PARK2,,
,PARK2,,
Q561U2,park2,si:ch211-123f21.1|zgc:112390,parkin RBR E3 ubiquitin protein ligase
F1NWU0,PARK2,,parkin RBR E3 ubiquitin protein ligase
,PARK2,,
,PARK2,,
Q9WVS6,Park2,PRKN,Parkinson disease (autosomal recessive, juvenile) 2, parkin
,PARK2,,
H2QU08,PARK2,,
Q9JK66,Park2,Park|Prkn,parkin RBR E3 ubiquitin protein ligase
,Park2,,
,PARK2,,
,PARK2,,
,PARK2,,
,PARK2,,
,PARK2,,
,PARK2,,
,PARK2,,
,PARK2,,
,park2,,
,PARK2,,
,PARK2,,
,Park2,,
Q5J4W3,park2,,
A5PJP5,PINK1,,
,PINK1,,
Q5PRB2,pink1,wu:fc39e12|zgc:101729,PTEN induced putative kinase 1
,PINK1,,PTEN induced putative kinase 1
F7H674,PINK1,,
F7FR77,PINK1,,
Q99MQ3,Pink1,1190006F07Rik|AU042772|AW557854|BRPK|mFLJ00387,PTEN induced putative kinase 1
,PINK1,,
H2PY88,PINK1,,
D3Z9M9,Pink1,,PTEN induced putative kinase 1
,Pink1,,
,PINK1,,
,PINK1,,
,PINK1,,
,PINK1,,
G3TBJ9,PINK1,,
,PINK1,,
,PINK1,,
H0X8F0,PINK1,,
,pink1,,
,PINK1,,
,PINK1,,
,Pink1,,
,pink1,,
P45879,VDAC1,,
F1PRZ1,VDAC1,,
Q6NWC1,vdac1,fa13f11|wu:fa13f11|zgc:85830,voltage-dependent anion channel 1
E1BYN7,VDAC1,,voltage-dependent anion channel 1
F7GH97,VDAC1,,
F6UN69,VDAC1,,
Q60932,Vdac1,AL033343|Vdac5|mVDAC1|mVDAC5,voltage-dependent anion channel 1
,VDAC1,,
H2QRH5,VDAC1,,
Q9Z2L0,Vdac1,,voltage-dependent anion channel 1
Q28HL9,vdac1,,voltage-dependent anion channel 1
H0W405,Vdac1,,
,VDAC1,,
,VDAC1,,
,VDAC1,,
M3W9K4,VDAC1,,
G3UJ42,VDAC1,,
,VDAC1,,
Q9TT15,VDAC1,,
,VDAC1,,
H2L5X9,vdac1,,
,VDAC1,,
,VDAC1,,
I3MAD1,Vdac1,,
H2T2L9,vdac1,,
B1H0X0,O18737,CALCOCO2,NDP52,
J9P4J6,CALCOCO2,,
F1QGK5,calcoco2,wu:fj08c01|zgc:110205,calcium binding and coiled-coil domain 2
,CALCOCO2,,calcium binding and coiled-coil domain 2
F7HTT2,CALCOCO2,,
,CALCOCO2,,
A2A6M5,Calcoco2,2410154J16Rik|C77254|Ndp52|Ndp52l1,calcium binding and coiled-coil domain 2
,CALCOCO2,,
G2HF82,CALCOCO2,,
,Calcoco2,RGD1559974,calcium binding and coiled-coil domain 2
Q6DF48,calcoco2,golga4,calcium binding and coiled-coil domain 2
H0W4H4,Calcoco2,,
,CALCOCO2,,
,CALCOCO2,,
,CALCOCO2,,
,CALCOCO2,,
,CALCOCO2,,
,CALCOCO2,,
G1TB56,CALCOCO2,,
,CALCOCO2,,
,calcoco2,,
,CALCOCO2,,
,CALCOCO2,,
,Calcoco2,,
,calcoco2,Ndp52,
Q2TA45,AGFG1,HRB,
,AGFG1,HRB,
E7FFV7,Q6TEN4,agfg1a,agfg1|hrb|wu:fb14f05|wu:fi19d11,ArfGAP with FG repeats 1a
,AGFG1,HRB,ArfGAP with FG repeats 1
,AGFG1,HRB,
F6UGJ5,AGFG1,,
A0A087WNV1,A0A087WSR7,Q8K2K6,Agfg1,AU045498|C130049H11Rik|C85612|D730048C23Rik|Hrb|RAB|Rip,ArfGAP with FG repeats 1
G1PSI1,AGFG1,,
H2R625,K7BFP8,K7DMM6,AGFG1,HRB,
Q4KLH5,Agfg1,,ArfGAP with FG repeats 1
F7CN16,Q28CJ7,agfg1,hrb,ArfGAP with FG repeats 1
H0UVW2,Agfg1,,
,AGFG1,,
,AGFG1,,
,AGFG1,,
,AGFG1,,
,AGFG1,,
,AGFG1,,
F7FHV4,AGFG1,,
,AGFG1,,
,AGFG1,,
,agfg1,,
,AGFG1,,
,AGFG1,,
,Agfg1,,
,agfg1,,
Q1JPJ7,AP2A1,,
J9NWS6,AP2A1,,
,ap2a1,si:ch211-195b15.3|wu:fa95c07,adaptor-related protein complex 2, alpha 1 subunit
F6PL31,H9FQK8,AP2A1,,
,AP2A1,,
P17426,Ap2a1,Adtaa,adaptor-related protein complex 2, alpha 1 subunit
,AP2A1,,
,AP2A1,,
D3ZUY8,Ap2a1,,adaptor-related protein complex 2, alpha 1 subunit
Q0IHS1,ap2a1,adtaa|ap2-alpha|clapa1,adaptor related protein complex 2 alpha 1 subunit
H0V4P1,Ap2a1,,
,AP2A1,,
,AP2A1,,
,AP2A1,,
,AP2A1,,
,AP2A1,,
,AP2A1,,
,AP2A1,,
,AP2A1,,
,ap2a1,,
,AP2A1,,
,AP2A1,,
,Ap2a1,,
Q0VCK5,AP2A2,,
,AP2A2,,
Q5F3T4,AP2A2,,adaptor-related protein complex 2, alpha 2 subunit
I2CUB9,AP2A2,,
P17427,Q69ZW4,Q6PEE6,Ap2a2,2410074K14Rik|AF006990|AW146353|Adtab|C78001|L25,adaptor-related protein complex 2, alpha 2 subunit
,AP2A2,,
,AP2A2,,
Q66HM2,Ap2a2,,adaptor-related protein complex 2, alpha 2 subunit
Q6NVT5,ap2a2,adtab|ap2a1|ap2a2-3|clapa2|hip9|hypj,adaptor related protein complex 2 alpha 2 subunit
H0VIB5,Ap2a2,,
,AP2A2,,
,AP2A2,,
,AP2A2,,
M3WI80,AP2A2,,
,AP2A2,,
,AP2A2,,
,AP2A2,,
,AP2A2,,
,AP2A2,,
,Ap2a2,,
,ap2a2,,
E2RIV1,AP2B1,,
Q6NYJ9,ap2b1,fa16e07|wu:fa16c06|wu:fa16e07|wu:fc18c08|zgc:55659,adaptor-related protein complex 2, beta 1 subunit
,AP2B1,,adaptor-related protein complex 2, beta 1 subunit
H9FQN1,H9FQN3,AP2B1,,
F7EUM5,AP2B1,,
Q5SWR1,Q9DBG3,Ap2b1,1300012O03Rik|AI788979,adaptor-related protein complex 2, beta 1 subunit
,AP2B1,,
H2R1D0,K7CXZ7,AP2B1,,
P62944,Q3ZB97,Ap2b1,,adaptor-related protein complex 2, beta 1 subunit
Q6P4L7,ap2b1,,adaptor related protein complex 2 beta 1 subunit
H0VGF4,Ap2b1,,
,AP2B1,,
,AP2B1,,
,AP2B1,,
,AP2B1,,
G3TFU1,AP2B1,,
,AP2B1,,
G1SL02,AP2B1,,
,AP2B1,,
,AP2B1,,
,AP2B1,,
,Ap2b1,,
H2SY89,H2SY90,ap2b1,,
Q3ZC13,AP2M1,,
,AP2M1,,
Q5ZMP6,AP2M1,,adaptor related protein complex 2 mu 1 subunit
F6U1B2,H9FPP5,AP2M1,,
,AP2M1,,
P84091,Q3TWV4,Q5FWI9,Q6A0C9,Ap2m1,,adaptor-related protein complex 2, mu 1 subunit
,AP2M1,,
G2HE69,AP2M1,,
P84092,Ap2m1,Ap50|Clapm1|mu2,adaptor-related protein complex 2, mu 1 subunit
Q6P856,ap2m1,clapm1,adaptor related protein complex 2 mu 1 subunit
,Ap2m1,,
,AP2M1,,
,AP2M1,,
,AP2M1,,
M3W8D5,AP2M1,,
G3TDU8,AP2M1,,
,AP2M1,,
G1SM15,AP2M1,,
,AP2M1,,
H2MGN3,ap2m1,,
,AP2M1,,
,AP2M1,,
I3MBC0,Ap2m1,,
,ap2m1,,
Q17QC5,AP2S1,,
E2RSJ0,AP2S1,,
Q6PEJ2,ap2s1,wu:fb52e12|wu:fk78e12|zgc:65827,adaptor-related protein complex 2, sigma 1 subunit
,CLAPS2,AP17|AP2S1|FBH3|FBHOk|HHC3|sigma2-adaptin,AP-2 complex subunit sigma-like
F6Z952,AP2S1,,
,AP2S1,,
P62743,Q3UJ76,Ap2s1,AI043088,adaptor-related protein complex 2, sigma 1 subunit
,AP2S1,,
H2QGN6,AP2S1,,
P62744,Ap2s1,Ap17,adaptor-related protein complex 2, sigma 1 subunit
Q28GD2,ap2s1,ap17|ap17-delta|claps2,adaptor related protein complex 2 sigma 1 subunit
,Ap2s1,,
,AP2S1,,
,AP2S1,,
,AP2S1,,
,AP2S1,,
,AP2S1,,
,AP2S1,,
H0XXE6,AP2S1,,
,ap2s1,,
,AP2S1,,
,AP2S1,,
H2U197,ap2s1,,
G3N3N1,ARF6,,
E2RHL4,ARF6,,
Q6P2U5,arf6b,wu:fa98a01|zgc:172028,ADP-ribosylation factor 6b
P26990,ARF6,,ADP ribosylation factor 6
F6RLV0,ARF6,,
F7FYA6,ARF6,,
P62331,Q3U0D7,Arf6,AI788669|AW496366,ADP-ribosylation factor 6
G1PGW7,ARF6,,
H2Q894,ARF6,,
P62332,Arf6,,ADP-ribosylation factor 6
Q6DFR9,arf6.2,arf6,ADP ribosylation factor 6
H0VBM9,Arf6,,
,ARF6,,
,ARF6,,
,ARF6,,
,ARF6,,
G3STY5,ARF6,,
,ARF6,,
F6URT1,ARF6,,
G1SFX7,ARF6,,
H0XSD9,ARF6,,
,ARF6,,
,ARF6,,
I3NF44,Arf6,,
,ARHGAP26,,
F1Q2M8,ARHGAP26,,
Q5ZMW5,ARHGAP26,,Rho GTPase activating protein 26
F6VDT1,ARHGAP26,,
,ARHGAP26,,
E9QAQ3,Q3U860,Q6ZQ82,Q9D0J3,Arhgap26,1810044B20Rik|2610010G17Rik|4933432P15Rik|AI853435|mKIAA0621,Rho GTPase activating protein 26
,ARHGAP26,,
H2QRP5,K7BFC3,ARHGAP26,,
A0A0G2K5D5,D3ZMS4,Arhgap26,,Rho GTPase activating protein 26
B5DFQ4,arhgap26,graf|graf1|ophn1l|ophn1l1,Rho GTPase activating protein 26
,Arhgap26,,
,ARHGAP26,,
,ARHGAP26,,
,ARHGAP26,,
,ARHGAP26,,
,ARHGAP26,,
,ARHGAP26,,
,ARHGAP26,,
,ARHGAP26,,
,ARHGAP26,,
,arhgap26,,
,ARHGAP26,,
,ARHGAP26,,
I3MRQ7,Arhgap26,,
H2SU89,arhgap26,,
P04973,CLTA,CLTA2,
E2RPI8,E2RPI9,CLTA,,
E9QDE6,E9QI07,Q6P937,clta,wu:fb61d08|wu:fj48d06|zgc:73358,clathrin, light chain A
Q5ZHR7,CLTA,,clathrin, light chain A
H9EPP9,H9FPR3,H9FPR4,H9YUB6,CLTA,,
F7G4M4,CLTA,,
B1AWD8,B1AWD9,B1AWE0,B1AWE1,Q6PFA2,Clta,AV026556|Lca,clathrin, light polypeptide (Lca)
G1P7X6,CLTA,,
H2QX95,CLTA,,
A0A0G2JYW3,P08081,Q5PPP1,Clta,LCA1|LCA2|LCA3,clathrin, light chain A
Q6P8F6,clta,lca,clathrin, light chain A
H0VNV2,Clta,,
,CLTA,,
,CLTA,,
,CLTA,,
M3WHJ6,CLTA,,
,CLTA,,
,CLTA,,
,CLTA,,
G1SCE4,U3KM64,CLTA,,
,CLTA,,
,CLTA,,
,CLTA,,
I3M5C1,Clta,,
,clta,,
P04975,CLTB,CLTLB,
F6X5M3,CLTB,,
A0A0G2KL94,cltb,,
,CLTB,,clathrin, light chain B
H9FPR5,H9FPR6,CLTB,,
F7DN20,CLTB,,
Q3TWZ9,Q6IRU5,Cltb,2310046E19Rik,clathrin, light polypeptide (Lcb)
K7APH6,CLTB,,
P08082,Cltb,,clathrin, light chain B
Q5XGH5,cltb,,clathrin, light chain B
H0V6B5,Cltb,,
,CLTB,,
,CLTB,,
,CLTB,,
,CLTB,,
,CLTB,,
F7AHF1,CLTB,,
G1T868,CLTB,,
,CLTB,,
,cltb,,
,CLTB,,
,CLTB,,
,Cltb,,
,cltb,,
P49951,CLTC,,
F1PHQ0,CLTC,,
Q8UUR1,CLTC,CHC,clathrin, heavy chain (Hc)
H9YXH3,I0FP57,CLTC,,
,CLTC,,
Q68FD5,Cltc,3110065L21Rik|CHC|R74732,clathrin, heavy polypeptide (Hc)
,CLTC,,
H2QZP7,K7CCE3,CLTC,,
P11442,Cltc,,clathrin heavy chain
Q5XHB7,cltc,,clathrin, heavy chain (Hc)
H0V5M6,Cltc,,
,CLTC,,
,CLTC,,
,CLTC,,
,CLTC,,
,CLTC,,
,CLTC,,
,CLTC,,
,CLTC,,
,CLTC,,
,cltc,,
,CLTC,,
,CLTC,,
,Cltc,,
,cltc,,
Q08DF4,DNM1,,
B4YUE0,DNM1,,
E4VNZ2,dnm1a,dnm1|si:dkey-246l19.2,dynamin 1a
E1BXY4,DNM1,,dynamin 1
I2CYA0,DNM1,,
,DNM1,,
A0A0J9YUN4,P39053,Dnm1,AI838169|Dnm|Ftfl|mKIAA4093,dynamin 1
,DNM1,,
H2R2B8,H2RDH9,DNM1,,
P21575,Dnm1,Dnm,dynamin 1
Q6GL48,dnm1,dnm,dynamin 1
,Dnm1,,
,DNM1,,
,DNM1,,
,DNM1,,
,DNM1,,
,DNM1,,
,DNM1,,
,DNM1,,
H0WMW2,DNM1,,
,dnm1,,
,DNM1,,
,DNM1,,
,Dnm1,,
,dnm1,,
Q2KIA5,DNM1L,,
E2QXL2,J9NRH1,DNM1L,,
Q7SXN5,dnm1l,zgc:66163,dynamin 1-like
Q5F469,DNM1L,,dynamin 1-like
G7N6P0,DNM1L,,
,DNM1L,,
E9PUD2,Q8K1M6,Dnm1l,6330417M19Rik|AI450666|Dlp1|Dnmlp1|Drp1|python,dynamin 1-like
,DNM1L,,
,DNM1L,,
O35303,Dnm1l,DLP1|Dnml1|Drp1,dynamin 1-like
,dnm1l,,dynamin 1-like
,Dnm1l,,
,DNM1L,,
,DNM1L,,
,DNM1L,,
,DNM1L,,
,DNM1L,,
,DNM1L,,
G1SCF4,DNM1L,,
,DNM1L,,
,DNM1L,,
,DNM1L,,
,Dnm1l,,
A6H7I5,DNM2,,
E2RNC3,DNM2,,
A0A0R4IIR1,Q4V8Z7,T1SXK0,dnm2a,dnm2|zgc:114072,dynamin 2a
,DNM2,,dynamin 2
F7FLA4,I2CY05,DNM2,,
F7FF74,DNM2,,
G3X9G4,P39054,Q3T9X3,Q3TCR7,Dnm2,Dyn2|Udnm|b2b2159Clo,dynamin 2
G1PBG9,DNM2,,
,DNM2,dynamin-2,
P39052,Dnm2,DYIIAAB,dynamin 2
Q5XGH8,dnm2,cmtdi1|cmtdib|dyn2|dynII,dynamin 2
,Dnm2,,
,DNM2,,
,DNM2,,
,DNM2,,
,DNM2,,
,DNM2,,
,DNM2,,
,DNM2,,
,DNM2,,
,DNM2,,
,DNM2,,
,Dnm2,,
,dnm2,,
A7E382,DNM3,,
,DNM3,,
R4GE56,dnm3a,dnm3|si:dkey-19f21.3,dynamin 3a
,DNM3,,dynamin 3
,DNM3,,
,DNM3,,
Q8BZ98,Dnm3,9630020E24Rik|AW061159|B230343F03Rik|C530045C17|mKIAA0820,dynamin 3
,DNM3,,
,DNM3,,
Q08877,Dnm3,dynamin-2,dynamin 3
,dnm3,dynamin-3|t-dynamin,dynamin 3
,Dnm3,,
,DNM3,,
,DNM3,,
,DNM3,,
,DNM3,,
,DNM3,,
,DNM3,,
,DNM3,,
,DNM3,,
,dnm3,,
,DNM3,,
,DNM3,,
,Dnm3,,
,dnm3,,
F1MC63,EXOC1,,
Q7T2A6,exoc1,sec3l1|wu:fb58e03|zgc:64145,exocyst complex component 1
E1BS87,EXOC1,SEC3L1,exocyst complex component 1
F7F541,F7F553,EXOC1,,
F7DKR4,EXOC1,,
Q5PPR2,Q6P1Y9,Q8R3S6,Exoc1,2810407P21Rik|A730011E05Rik|SEC3|Sec3l1|Sec3p,exocyst complex component 1
,EXOC1,,
H2R146,H2R1Q3,EXOC1,,
Q4V8H2,Exoc1,Sec3l1,exocyst complex component 1
B1H3J1,exoc1,,exocyst complex component 1
H0V0B8,Exoc1,,
,EXOC1,,
,EXOC1,,
,EXOC1,,
F7ATD0,EXOC1,,
G1TER0,EXOC1,,
,exoc1,,
,EXOC1,,
,Exoc1,,
,exoc1,,
E1BDW9,EXOC2,,
E2RCW3,EXOC2,,
Q6PGY8,exoc2,sec5l1|zgc:63558|zgc:77855,exocyst complex component 2
R4GJ00,EXOC2,,exocyst complex component 2
H9ES04,EXOC2,,
,EXOC2,,
Q9D4H1,Exoc2,2410030I24Rik|AI648199|Sec5|Sec5l1,exocyst complex component 2
G1PQ62,EXOC2,,
H2QS72,EXOC2,,
F1LMB9,O54921,Exoc2,Rsec5|Sec5l1,exocyst complex component 2
,exoc2,,exocyst complex component 2
H0V195,Exoc2,,
,EXOC2,,
,EXOC2,,
,EXOC2,,
,EXOC2,,
,EXOC2,,
,EXOC2,,
F6R680,EXOC2,,
,EXOC2,,
,EXOC2,,
H2MBE2,exoc2,,
,EXOC2,,
,EXOC2,,
I3MHF4,Exoc2,,
,exoc2,,
Q0V8C2,EXOC3,,
F1PX56,EXOC3,,
Q7ZVS2,exoc3,fi26g09|sec6l1|wu:fi26g09|wu:fi34a09|wu:fj62h05|wu:fk66f08|zgc:55709,exocyst complex component 3
F1NHD9,Q5ZJ55,EXOC3,SEC6L1,exocyst complex component 3
F7GVL8,EXOC3,,
F6SBJ3,EXOC3,,
Q6KAR6,Q8K0E2,Exoc3,2810050O03Rik|E430013E20Rik|Sec6|Sec6l1,exocyst complex component 3
,EXOC3,,
H2QQK3,EXOC3,,
Q62825,Exoc3,Sec6|Sec6l1|rSec6,exocyst complex component 3
Q6DJR6,exoc3,sec6l1,exocyst complex component 3
,Exoc3,,
,EXOC3,,
,EXOC3,,
,EXOC3,,
M3WML2,EXOC3,,
,EXOC3,,
,EXOC3,,
,EXOC3,,
,EXOC3,,
H0WY39,EXOC3,,
,exoc3,,
,EXOC3,,
,EXOC3,,
,Exoc3,,
,exoc3,,
A6QLD1,EXOC4,,
F1PMM8,EXOC4,,
Q5TYY2,exoc4,si:ch211-92l17.2|si:rp71-18a24.2,exocyst complex component 4
,EXOC4,SEC8L1,exocyst complex component 4
G7MME5,EXOC4,,
,EXOC4,,
O35382,Q9CXE1,Exoc4,C78892|Sec8|Sec8l1,exocyst complex component 4
,EXOC4,,
H2QVE4,EXOC4,SEC8L1,
Q62824,Exoc4,ALR|Sec8|Sec8l1,exocyst complex component 4
,exoc4,,exocyst complex component 4
,Exoc4,,
,EXOC4,,
,EXOC4,,
,EXOC4,,
,EXOC4,,
G3T7D1,EXOC4,,
,EXOC4,,
,EXOC4,,
G1T1R9,EXOC4,,
,EXOC4,,
,exoc4,,
,EXOC4,,
,EXOC4,,
,exoc4,,
,EXOC5,,
E2RAC9,EXOC5,,
B0BLY0,exoc5,zgc:175220,exocyst complex component 5
Q5F3N2,EXOC5,SEC10L1,exocyst complex component 5
F7BUS9,EXOC5,,
,EXOC5,,
Q3TPX4,Exoc5,AI447711|AI448003|Gm76|PRO1912|SEC10|Sec10l1,exocyst complex component 5
,EXOC5,,
H2R434,EXOC5,,
P97878,Exoc5,Sec10l1,exocyst complex component 5
Q28DD4,exoc5,sec10l1,exocyst complex component 5
,Exoc5,,
,EXOC5,,
,EXOC5,,
,EXOC5,,
,EXOC5,,
,EXOC5,,
,EXOC5,,
F7ARS0,EXOC5,,
,EXOC5,,
,EXOC5,,
,exoc5,,
,EXOC5,,
,EXOC5,,
,Exoc5,,
,exoc5,,
A6QLT7,EXOC6,,
E2R766,EXOC6,SEC15A|SEC15L|SEC15L1,
Q6NTH9,exoc6,zgc:77548,exocyst complex component 6
Q5ZJ05,EXOC6,SEC15L1,exocyst complex component 6
F7FZN9,EXOC6,,
F7EZ69,EXOC6,,
Q3U9D6,Q8C670,Exoc6,4833405E05Rik|AW413330|C430002C19|Sec15|Sec15l1|hbd|msec15,exocyst complex component 6
,EXOC6,,
H2R0K2,K7A2T0,EXOC6,,
O54923,Exoc6,Sec15|Sec15l1,exocyst complex component 6
,exoc6,,exocyst complex component 6
,Exoc6,,
,EXOC6,,
,EXOC6,,
,EXOC6,,
G3SRJ1,EXOC6,,
,EXOC6,,
,EXOC6,,
G1SCS1,U3KNN3,EXOC6,,
,EXOC6,,
,exoc6,,
,EXOC6,,
,EXOC6,,
,Exoc6,,
,exoc6,,
Q3ZC43,EXOC7,,
,EXOC7,Exo70,
E7FC72,Q7ZTX5,U3JAN6,U3JAX5,U3JB38,exoc7,zgc:56575,exocyst complex component 7
Q5ZIN3,EXOC7,,exocyst complex component 7
F7DSN1,F7DT40,H9FRW5,EXOC7,,
F7FTY5,EXOC7,,
A2AAN0,O35250,Q3USE0,Q542L0,Exoc7,Exo70|sec70,exocyst complex component 7
,EXOC7,,
,exoc7,,exocyst complex component 7
H0V5F1,Exoc7,,
,EXOC7,,
,EXOC7,,
,EXOC7,,
,EXOC7,,
,EXOC7,,
,EXOC7,,
,EXOC7,,
,EXOC7,,
H0WJQ8,EXOC7,,
,exoc7,,
,EXOC7,,
,EXOC7,,
I3M9U3,Exoc7,,
,exoc7,,
A4IF89,EXOC8,,
E2R5F1,EXOC8,,
A4IG64,exoc8,zgc:162287,exocyst complex component 8
Q5ZJ43,EXOC8,,exocyst complex component 8
F7BWL3,EXOC8,,
,EXOC8,,
Q6PGF7,Exoc8,AI414418|EXO84|Exo84p|R74783|SEC84,exocyst complex component 8
,EXOC8,,
H2Q1C6,EXOC8,,
O54924,Exoc8,Exo84,exocyst complex component 8
,exoc8,,exocyst complex component 8
,Exoc8,,
,EXOC8,,
,EXOC8,,
,EXOC8,,
M3X5S8,EXOC8,,
,EXOC8,,
,EXOC8,,
,EXOC8,,
,EXOC8,,
,EXOC8,,
,exoc8,,
,EXOC8,,
,EXOC8,,
,Exoc8,,
,exoc8,,
Q0VCH9,GLIPR2,C8H9ORF19,
J9NX46,GLIPR2,,
Q5XJ73,glipr2l,wu:fj53e10|zgc:103578,GLI pathogenesis-related 2, like
R4GGF3,GLIPR2,C9orf19,GLI pathogenesis-related 2
F6SHW5,GLIPR2,,
,GLIPR2,,
Q9CYL5,Glipr2,5730414A08Rik|C77180|GAPR-1,GLI pathogenesis-related 2
,GLIPR2,,
K7DTU8,GLIPR2,,
F1M5V2,Glipr2,,GLI pathogenesis-related 2
,Glipr2,,
,GLIPR2,,
,GLIPR2,,
,GLIPR2,,
,GLIPR2,,
,GLIPR2,,
,GLIPR2,,
F6WZX9,GLIPR2,,
,GLIPR2,,
,GLIPR2,,
,glipr2,,
,GLIPR2,,
,GLIPR2,,
,Glipr2,,
H2U3J6,glipr2,,
E1BBC4,OPA1,,
,OPA1,,
A0A0R4IJ30,Q5U3A7,opa1,fk62d06|wu:fb77a10|wu:fk62d06|zgc:92092,optic atrophy 1 (autosomal dominant)
F1N8M4,Q5F499,R4GJ94,OPA1,,OPA1, mitochondrial dynamin like GTPase
F6Y1R3,F6Y1T5,F6ZH44,I2CT67,OPA1,,
F7CFA6,OPA1,,
H7BX01,P58281,Opa1,1200011N24Rik|AI225888|AI847218|lilr3|mKIAA0567,optic atrophy 1
,OPA1,,
H2QNZ8,K7BDC4,K7C6W9,OPA1,,
Q2TA68,Opa1,,OPA1, mitochondrial dynamin like GTPase
B1H3I1,opa1,,optic atrophy 1 (autosomal dominant)
,Opa1,,
,OPA1,,
,OPA1,,
,OPA1,,
,OPA1,,
,OPA1,,
,OPA1,,
,OPA1,,
G1TAB7,OPA1,,
,OPA1,,
,opa1,,
,OPA1,,
,OPA1,,
,Opa1,,
,opa1,,
A6QR57,PLD1,,
,PLD1,PRKCSH,
B0V1J1,pld1a,pld1|si:ch211-244m8.2,phospholipase D1a
E1BVP2,PLD1,,phospholipase D1, phosphatidylcholine-specific
F7FFD2,F7FFG3,PLD1,PRKCSH,
,PLD1,,
D6RH77,Q3UWT7,Q6NVF2,Pld1,AA536939|C85393|Pld1a|Pld1b,phospholipase D1
,PLD1,,
H2R1L6,K7CMW0,PLD1,PRKCSH,
D4A318,F1LMG4,P70496,Pld1,Pld1a|Pld1b|Plda|Pldb,phospholipase D1
,pld1,,phospholipase D1
,Pld1,,
,PLD1,,
,PLD1,,
,PLD1,,
,PLD1,,
,PLD1,,
,PLD1,,
,PLD1,PRKCSH,
H0X295,PLD1,,
,pld1,,
,PLD1,,
,PLD1,,
,Pld1,,
Q3ZCK2,RALA,,
J9NX28,RALA,,
